state,entity_name,entity_category,coverage_status,legal_basis_citation,legal_basis_url,submission_methods,request_email,portal_url,mailing_address,typical_record_types,video_policy_notes,response_deadline_days,fee_policy_summary,fee_waiver_standard,appeals_process_summary,last_verified_date,sources,has_bodycam,has_dashcam,has_dot_traffic_video,camera_program_evidence_url,video_retention_days_bodycam,video_retention_days_dashcam,video_retention_days_traffic,footage_accessibility_score,footage_accessibility_notes
Washington,Washington State Patrol,State Police/Highway Patrol,Covered,RCW 42.56.070,https://app.leg.wa.gov/rcw/default.aspx?cite=42.56.070,Web Portal|Mail,,https://wsp.govqa.us/WEBAPP/_rs/(S(2bd5la4430zmxg1ypjjo0kdo))/SupportHome.aspx,"PO Box 42600, Olympia, WA 98504-2600",Dash-cam|Incident reports|Collision reports,In-car video recordings are generally disclosable under the PRA with statutory redactions; 5-business-day acknowledgment required by RCW 42.56.520; audio governed by RCW 9.73.090.,5,Copying/duplication fees per RCW 42.56.120; video may incur redaction-time costs if applicable.,Agency discretion for public-interest waivers (if offered).,"Internal review (if available), then judicial review under RCW 42.56.550.",{{run_date ISO}},https://app.leg.wa.gov/rcw/default.aspx?cite=42.56.070;https://app.leg.wa.gov/rcw/default.aspx?cite=42.56.520;https://app.leg.wa.gov/rcw/default.aspx?cite=42.56.120;https://wsp.govqa.us/WEBAPP/_rs/(S(2bd5la4430zmxg1ypjjo0kdo))/SupportHome.aspx;https://www2.sos.wa.gov/_assets/archives/recordsmanagement/state-government-general-records-retention-schedule-v.6.3-%28october-2024%29.pdf;https://mrsc.org/explore-topics/public-records/law-enforcement/video-footage,False,True,False,https://wsp.wa.gov/wp-content/uploads/2024/10/WSP-Informer-2024-10.pdf,,,,3,GovQA portal; clear PRA statutes; timelines acknowledged.
Washington,Seattle Police Department,Municipal Police,Covered,RCW 42.56.070,https://app.leg.wa.gov/rcw/default.aspx?cite=42.56.070,Email|Web Portal,pdr@seattle.gov,https://www.seattle.gov/police/information-and-data/public-disclosure-requests/records-request-center,"PO Box 34986, Seattle, WA 98124-4986",Body-cam|Dash-cam|Incident reports|CAD/Dispatch logs,BWV/ICV governed by SPD Manual 16.090; generally disclosable with redactions; 5-business-day acknowledgment per RCW 42.56.520; significant backlog historically reported.,5,City fee schedule; duplication fees per RCW 42.56.120.,Agency discretion / public-interest standard if available.,Administrative review then judicial remedy under RCW 42.56.550.,{{run_date ISO}},https://app.leg.wa.gov/rcw/default.aspx?cite=42.56.070;https://app.leg.wa.gov/rcw/default.aspx?cite=42.56.520;https://public.powerdms.com/SEA4550/documents/2042828;https://www.seattle.gov/police/information-and-data/public-disclosure-requests/records-request-center;https://www.axios.com/local/seattle/2022/08/22/seattle-police-open-record-requests-backlog-2800,True,True,False,https://public.powerdms.com/SEA4550/documents/2042828,,,,3,Dedicated portal; robust policy; backlog can slow turnaround.
Washington,King County Sheriff's Office,Sheriff’s Office,Covered,RCW 42.56.070,https://app.leg.wa.gov/rcw/default.aspx?cite=42.56.070,Web Portal|Email|Mail,sheriff.records@kingcounty.gov,https://kingcounty.gov/en/dept/sheriff/courts-jails-legal-system/sheriff-records,"516 Third Ave, Room W-150, Seattle, WA 98104",Body-cam|Dash-cam|Incident reports,BWC program in effect; releases via KCSO Public Disclosure Unit subject to PRA exemptions and redactions.,5,Fees per RCW 42.56.120 and county schedule.,Agency discretion.,Administrative review where offered; RCW 42.56.550 judicial review.,{{run_date ISO}},https://app.leg.wa.gov/rcw/default.aspx?cite=42.56.070;https://app.leg.wa.gov/rcw/default.aspx?cite=42.56.520;https://kingcounty.gov/en/dept/sheriff/courts-jails-legal-system/sheriff-records;https://powerdms.com/public/KCSD5/documents/1472959,True,True,False,https://powerdms.com/public/KCSD5/documents/1472959,,,,3,Public portal; BWC policy posted via PowerDMS.
Washington,Pierce County Sheriff's Department,Sheriff’s Office,Covered,RCW 42.56.070,https://app.leg.wa.gov/rcw/default.aspx?cite=42.56.070,Web Portal|Mail,,https://www.piercecountywa.gov/5243/Public-Records-Request,"930 Tacoma Ave S, Tacoma, WA 98402",Body-cam|Dash-cam|Incident reports,Department-wide BWC and in-car cameras deployed; releases via Public Records Office; redaction-time fee posted.,5,County schedule incl. $0.63/min redaction time for BWC/dash-cam (see portal); duplication per RCW 42.56.120.,Agency discretion.,Administrative review; RCW 42.56.550 judicial review.,{{run_date ISO}},https://app.leg.wa.gov/rcw/default.aspx?cite=42.56.070;https://app.leg.wa.gov/rcw/default.aspx?cite=42.56.520;https://www.piercecountywa.gov/5243/Public-Records-Request;https://www.piercecountywa.gov/7512/Body-Worn-Cameras;https://www.piercecountywa.gov/DocumentCenter/View/110211/Policy-450-Body_Worn_and_Vehicle_Camera_Recorders?bidId=,True,True,False,https://www.piercecountywa.gov/7512/Body-Worn-Cameras,,,,4,Explicit BWC program page and posted policy; portal lists fees.
Washington,Spokane Police Department,Municipal Police,Covered,RCW 42.56.070,https://app.leg.wa.gov/rcw/default.aspx?cite=42.56.070,Web Portal|Email|Mail,clerks@spokanecity.org,https://my.spokanecity.org/administrative/public-records/,"Office of the City Clerk, 808 W. Spokane Falls Blvd., Spokane, WA 99201",Body-cam|Incident reports,BWC in use; releases via City Clerk/Public Records portal; subject to PRA exemptions and redactions.,5,City schedule; duplication fees per RCW 42.56.120.,Agency discretion.,Administrative review; RCW 42.56.550 judicial review.,{{run_date ISO}},https://app.leg.wa.gov/rcw/default.aspx?cite=42.56.070;https://app.leg.wa.gov/rcw/default.aspx?cite=42.56.520;https://my.spokanecity.org/administrative/public-records/;https://static.spokanecity.org/documents/police/accountability/bodycamera/spd-body-camera-policy.pdf,True,False,False,https://static.spokanecity.org/documents/police/accountability/bodycamera/spd-body-camera-policy.pdf,,,,3,GovQA portal via City Clerk; policy posted.
Washington,Tacoma Police Department,Municipal Police,Covered,RCW 42.56.070,https://app.leg.wa.gov/rcw/default.aspx?cite=42.56.070,Web Portal|Email|In-Person,publicdisclosure@tacoma.gov,https://tacoma.gov/government/departments/public-records-office/,"Public Records Office, 3628 S 35th St, Tacoma, WA 98409",Body-cam|Incident reports,"BWC introduced 2021; requests processed by Public Records Office; per City notice, BWC viewing may be in person; fees posted including per-minute redaction charge.",5,City fee schedule; BWC video $0.49/min redaction time; duplication fees per RCW 42.56.120.,Agency discretion.,Administrative review; RCW 42.56.550 judicial review.,{{run_date ISO}},https://app.leg.wa.gov/rcw/default.aspx?cite=42.56.070;https://app.leg.wa.gov/rcw/default.aspx?cite=42.56.520;https://tacoma.gov/government/departments/public-records-office/;https://mrsc.org/getmedia/4b451436-05e8-4b6c-b367-7bc816eae7b4/t3bodycam.pdf;https://tacoma.gov/government/departments/police/policing-accountability-transparency/,True,False,False,https://tacoma.gov/government/departments/police/policing-accountability-transparency/,,,,4,Public Records Office with clear fees; BWC policy available.
Washington,Western Washington University Police Department,University Police (Public),Covered,RCW 42.56.070,https://app.leg.wa.gov/rcw/default.aspx?cite=42.56.070,Web Portal|Email|Mail|Phone|Fax,barrics@wwu.edu,https://publicrecords.wwu.edu/requesting-public-record,"WWUPD Public Records, 2001 Bill McDonald Pkwy, Bellingham, WA 98225",Body-cam|Incident reports,WWUPD processes requests under PRA; portal and contact methods posted; body-worn video requests handled per PRA with applicable exemptions.,5,University fee schedule; duplication per RCW 42.56.120; fees may be waived when not cost-effective per WAC 516-09-070.,Agency discretion / WAC 516-09-070.,Administrative review; RCW 42.56.550 judicial review.,{{run_date ISO}},https://app.leg.wa.gov/rcw/default.aspx?cite=42.56.070;https://app.leg.wa.gov/rcw/default.aspx?cite=42.56.520;https://publicrecords.wwu.edu/requesting-public-record;https://police.wwu.edu/public-records-request,True,False,False,https://police.wwu.edu/public-records-request,,,,3,GovQA portal; clear contact details and PRA process.
Washington,Port of Seattle Police Department,Airport/Port Authority (Police),Covered,RCW 42.56.070,https://app.leg.wa.gov/rcw/default.aspx?cite=42.56.070,Web Portal|Email|Mail|Phone,policepublicrecords@portseattle.org,https://portofseattlepolice.nextrequest.com/,"Port of Seattle Police Department Records, P.O. Box 68727, Seattle, WA 98158",Body-cam|Incident reports,BWC requests accepted via NextRequest; disclosures subject to PRA exemptions and redactions per Port policy EX-19.,5,Port fee schedule; duplication per RCW 42.56.120.,Agency discretion.,Administrative review; RCW 42.56.550 judicial review.,{{run_date ISO}},https://app.leg.wa.gov/rcw/default.aspx?cite=42.56.070;https://app.leg.wa.gov/rcw/default.aspx?cite=42.56.520;https://portofseattlepolice.nextrequest.com/;https://www.portseattle.org/page/public-disclosure-faq;https://www.portseattle.org/sites/default/files/2025-05/2025_05_08%2001%20EX-19-Public%20Access%20to%20Port%20Records_PGR%20Signed%205-12-2025.pdf,True,False,False,https://www.portseattle.org/sites/default/files/2025-05/2025_05_08%2001%20EX-19-Public%20Access%20to%20Port%20Records_PGR%20Signed%205-12-2025.pdf,,,,4,Dedicated police NextRequest portal; policy updated 2025 references BWC requests.
Washington,King County Metro Transit Police (Unit of KCSO),Transit Authority (Police),Covered,RCW 42.56.070,https://app.leg.wa.gov/rcw/default.aspx?cite=42.56.070,Web Portal|Email|Mail,sheriff.records@kingcounty.gov,https://kingcounty.gov/en/dept/sheriff/courts-jails-legal-system/sheriff-records,"516 Third Ave, Room W-150, Seattle, WA 98104",Body-cam|Incident reports|Transit incident logs,Transit policing provided by KCSO unit; BWC governed by KCSO policy; requests via KCSO Public Disclosure Unit.,5,Fees per RCW 42.56.120 and county schedule.,Agency discretion.,Administrative review; RCW 42.56.550 judicial review.,{{run_date ISO}},https://app.leg.wa.gov/rcw/default.aspx?cite=42.56.070;https://app.leg.wa.gov/rcw/default.aspx?cite=42.56.520;https://kingcounty.gov/en/dept/sheriff/courts-jails-legal-system/sheriff-records;https://powerdms.com/public/KCSD5/documents/1472959,True,False,False,https://powerdms.com/public/KCSD5/documents/1472959,,,,3,Handled through KCSO’s established PRA channels; BWC policy posted.
Washington,Washington Department of Fish & Wildlife (Enforcement),Wildlife/Conservation,Covered,RCW 42.56.070,https://app.leg.wa.gov/rcw/default.aspx?cite=42.56.070,Web Portal|Email|Mail,publicdisclosure@dfw.wa.gov,https://wdfw.wa.gov/about/administration/public-records,"Public Records Officer, WDFW, P.O. Box 43200, Olympia, WA 98504",Body-cam|Incident reports,Public records page explicitly references requests for body-worn camera video; disclosures subject to PRA exemptions and redactions.,5,Agency fee schedule; duplication per RCW 42.56.120.,Agency discretion.,Administrative review; RCW 42.56.550 judicial review.,{{run_date ISO}},https://app.leg.wa.gov/rcw/default.aspx?cite=42.56.070;https://app.leg.wa.gov/rcw/default.aspx?cite=42.56.520;https://wdfw.wa.gov/about/administration/public-records,True,False,False,https://wdfw.wa.gov/about/administration/public-records,,,,4,Page explicitly references BWC requests; clear intake options.
